id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
1,5230,147.9229205,45.9299755,0.950573581,5377,81.6029584,0.653096903,328.69,0.60832907,3.220618319,1
2,6456,164.0195248,50.9268478,0.950575799,6623,90.66440592,0.688199552,363.821,0.612911626,3.22068873,1
3,8894,152.8444909,75.06878118,0.871077929,9129,106.4151893,0.764943666,375.549,0.792453466,2.036059311,0
4,5739,155.499526,48.27910237,0.950580732,5906,85.48170417,0.433983666,339.936,0.624096532,3.220845425,1
5,6028,158.5123715,49.21128733,0.9505874,6200,87.60757944,0.578558403,348.86,0.622416009,3.221057201,1
6,6076,159.7708362,49.60144914,0.950588498,6229,87.9556904,0.429824561,355.823,0.603058711,3.221092104,1
7,5650,153.0445392,47.51241051,0.950590279,5788,84.81629223,0.67430481,333.668,0.637718764,3.221148696,1
8,5701,154.8416581,48.06987874,0.950591216,6061,85.19823146,0.601879223,348.133,0.591113013,3.221178463,1
9,7295,138.5090761,68.02576658,0.871087087,7458,96.37573594,0.620851064,336.722,0.808522622,2.036126648,0
10,7168,172.505259,53.55232983,0.95059336,7373,95.53314114,0.591516752,381.677,0.618323682,3.221246575,1
11,6128,159.40492,49.484391,0.950595583,6297,88.33126247,0.600784314,350.605,0.62645865,3.221317202,1
12,5887,157.6803657,48.94796221,0.950597803,6114,86.57690916,0.506539322,352.64,0.594895596,3.221387748,1
13,6636,166.5365028,51.69246772,0.950606946,6796,91.91962586,0.431581686,370.85,0.606344824,3.221678325,1
14,5610,152.8237946,47.43574135,0.950607672,5760,84.51552429,0.534285714,332.594,0.63729998,3.221701405,1
15,6379,163.1281244,50.63363229,0.950608716,6508,90.12211191,0.46024531,356.334,0.631317663,3.221734586,1
16,6247,161.6206531,50.16510622,0.950609967,6387,89.18479375,0.462740741,353.298,0.628925223,3.221774361,1
17,6313,162.7458783,50.50958008,0.950619561,6512,89.65467777,0.491360523,357.884,0.619385577,3.222079417,1
18,6600,165.754457,51.44165023,0.950622847,6778,91.66995688,0.819875776,362.869,0.629874554,3.222183896,1
19,6402,163.1960102,50.64406384,0.950630001,6587,90.28443701,0.664245694,359.768,0.621556296,3.222411431,1
20,5631,153.4623258,47.62280314,0.950631361,5787,84.67356067,0.672037236,335.818,0.627462029,3.2224547,1
21,5901,156.4673848,48.55382576,0.950634521,6048,86.67979322,0.451976103,345.417,0.621509917,3.222555224,1
22,6749,167.7183302,52.04241916,0.950639812,6871,92.69894113,0.439045017,368.898,0.623213268,3.222723557,1
23,6248,161.474809,50.10346204,0.950643074,6415,89.19193167,0.511627907,353.104,0.629717279,3.222827373,1
24,5991,157.4399794,48.85096102,0.95064421,6158,87.33829694,0.641915783,350.787,0.611817934,3.222863504,1
25,6781,168.7393345,52.35266963,0.950652507,6964,92.91844463,0.606638039,371.52,0.617361031,3.223127602,1
26,6771,168.9531527,52.41697741,0.95065643,6940,92.84990553,0.438025618,374.647,0.606203109,3.223252486,1
27,6847,169.8446361,52.68696065,0.950669103,7101,93.36954087,0.768462402,372.214,0.621047451,3.223655986,1
28,6176,160.2947832,49.72425081,0.950669674,6334,88.67653257,0.457718817,354.209,0.618582982,3.223674174,1
29,7643,141.7472946,69.6158275,0.871088363,7798,98.6477057,0.615973565,346.92,0.798022338,2.036136029,0
30,8719,150.9550339,74.1313709,0.871113085,8887,105.3630656,0.608189174,380.498,0.756783727,2.036317851,0
31,5940,157.0931198,48.7305305,0.950670812,6059,86.96575703,0.448301887,343.301,0.633353496,3.223710438,1
32,5706,153.71335,47.68005332,0.950675201,5817,85.23558437,0.451960396,337.064,0.63112719,3.223850213,1
33,6319,162.6468593,50.45004218,0.950677366,6478,89.69727244,0.534331135,355.228,0.629279868,3.223919194,1
34,7015,171.0145127,53.04274276,0.95068269,7192,94.50807059,0.466484905,378.108,0.616603246,3.224088798,1
35,4727,140.9989961,43.73216733,0.95068456,4877,77.57965795,0.62526455,312.984,0.60638883,3.224148372,1
36,5304,149.3518038,46.32230492,0.950685793,5610,82.17823645,0.43062434,374.932,0.474141929,3.224187657,1
37,9312,156.3245935,76.76600472,0.871121245,9504,108.887128,0.618655328,379.026,0.814544521,2.036377875,0
38,6301,162.0038069,50.24632554,0.950685933,6511,89.56942766,0.615933529,361.331,0.606469407,3.22419212,1
39,7969,144.8640702,71.12893843,0.871156927,8244,100.7295683,0.618807268,357.092,0.785332281,2.036640408,0
40,7960,144.5788756,70.98730406,0.871163174,8180,100.6726714,0.74741784,353.31,0.801329391,2.036686383,0
41,7086,171.6624368,53.24184096,0.950686235,7281,94.98513259,0.45359109,376.165,0.629294945,3.224201751,1
42,5520,152.1668419,47.19457722,0.950687567,5675,83.83485127,0.638741032,337.455,0.609140124,3.224244199,1
43,7009,171.5541485,53.20443728,0.950693495,7313,94.46764509,0.443270934,385.593,0.592389895,3.224433097,1
44,6368,164.5179231,51.01984462,0.95069832,6889,90.04437473,0.681944742,435.715,0.421510013,3.224586909,1
45,6573,165.7659698,51.40679791,0.950698492,6808,91.48225799,0.521005073,372.87,0.594098712,3.224592398,1
46,6099,159.344761,49.41450998,0.950700465,6289,88.12200624,0.47633552,347.176,0.63587113,3.22465529,1
47,6808,168.5110676,52.25644927,0.950701685,6905,93.10324817,0.44276795,367.808,0.632393022,3.224694176,1
48,5914,158.3507677,49.10232992,0.950708565,6175,86.7752192,0.430109091,361.04,0.570138729,3.224913521,1
49,6255,161.9463178,50.21699114,0.950709105,6403,89.24188116,0.453918723,355.365,0.622426213,3.224930727,1
50,5837,156.5010189,48.52593722,0.950714425,6021,86.20846375,0.729351493,344.005,0.619826368,3.225100387,1
51,5822,156.50177,48.51884778,0.950729683,5966,86.09762267,0.577923367,342.285,0.624462452,3.22558711,1
52,6339,162.5752387,50.39592779,0.950741362,6491,89.83910882,0.442698513,355.078,0.63180504,3.22595983,1
53,6228,162.0841642,50.24196357,0.950744859,6388,89.04906448,0.748467732,355.228,0.620217601,3.226071448,1
54,4934,144.1139977,44.67115614,0.950746021,5049,79.26010291,0.464376471,317.056,0.616789621,3.226108527,1
55,6716,168.1503512,52.12083345,0.950747755,7570,92.47203243,0.429109961,410.721,0.500295658,3.226163898,1
56,6815,168.9260686,52.36060546,0.950749055,6995,93.15110036,0.440245478,376.837,0.603071283,3.226205409,1
57,6776,169.2079477,52.4378118,0.950768639,7030,92.8841814,0.624285978,373.803,0.60939333,3.226830829,1
58,6251,161.2483377,49.97056037,0.950769762,6406,89.21334202,0.574963208,352.342,0.632747638,3.226866708,1
59,7285,138.9145891,68.20174667,0.871181142,7442,96.30965727,0.667002381,339.945,0.792176773,2.036818643,0
60,6223,161.7955984,50.1366559,0.950776812,6356,89.01331185,0.825769639,351.034,0.634616412,3.227091946,1
61,6244,162.591296,50.38223483,0.950778795,6518,89.16337655,0.526564345,361.87,0.599194195,3.227155298,1
62,6502,164.9204117,51.10312936,0.950780434,6671,90.98683157,0.475918606,359.375,0.632646493,3.227207684,1
63,7267,174.6457607,54.11218907,0.950788811,7440,96.19060126,0.791181274,381.212,0.628393809,3.22747543,1
64,5927,157.7376573,48.87200165,0.950791675,6074,86.87054036,0.460743159,343.183,0.632402035,3.22756695,1
65,6974,171.0377623,52.98752015,0.950801705,7152,94.23148404,0.720008259,376.523,0.618171226,3.227887658,1
66,8571,149.8807294,73.58446936,0.871185776,8775,104.4649996,0.738052183,369.048,0.790816363,2.036852759,0
67,6374,164.099211,50.83736555,0.950802878,6547,90.08678515,0.43904119,360.109,0.617666393,3.227925153,1
68,6406,163.7850488,50.7356683,0.950811573,6619,90.31263767,0.458915395,364.023,0.607490023,3.228203241,1
69,6193,160.8603052,49.82092557,0.950829283,6346,88.7984938,0.725855602,354.516,0.619211856,3.228769907,1
70,6415,164.8361089,51.05044721,0.950832932,6589,90.376057,0.791975309,362.721,0.612718685,3.228886678,1
71,5943,157.8075403,48.8734812,0.95083332,6101,86.98771531,0.48020362,344.777,0.628259438,3.228899118,1
72,5180,146.752241,45.44807011,0.950836762,5324,81.21195012,0.788432268,324.413,0.618504873,3.229009298,1
73,5632,153.3512176,47.49006881,0.950840277,5778,84.68107885,0.494468832,334.166,0.633793805,3.229121824,1
74,6384,164.263069,50.86857734,0.95084165,6606,90.15742484,0.734299517,362.786,0.609539289,3.229165776,1
75,6578,165.2923657,51.18366883,0.950848858,6702,91.51704609,0.438416422,364.929,0.62070748,3.229396592,1
76,5720,154.9271854,47.96936768,0.950858669,5984,85.34008552,0.67349582,347.545,0.595091577,3.229710812,1
77,8003,145.2494319,71.30800548,0.871196299,8257,100.9442226,0.68384175,361.465,0.769715403,2.036930228,0
78,4643,138.8125419,42.97842878,0.950862043,4750,76.88726296,0.631442949,304.482,0.629339949,3.229818907,1
79,6720,167.9032697,51.97878305,0.950874779,6926,92.49956616,0.646153846,368.154,0.623045968,3.230227024,1
80,6575,165.4158587,51.20679091,0.950878617,6712,91.49617482,0.514959273,361.78,0.631271979,3.230350034,1
81,6143,161.6180257,50.01954384,0.95090193,6330,88.43930418,0.438535123,357.019,0.605630476,3.231097553,1
82,9091,154.4170697,75.80814367,0.871198395,9357,107.5872702,0.612601078,377.364,0.802233121,2.036945667,0
83,6452,130.0653171,63.84514434,0.871232907,6620,90.6363147,0.637234568,315.682,0.813588093,2.037199829,0
84,6031,158.6010525,49.08452957,0.950904565,6165,87.62937689,0.533858547,343.916,0.64075858,3.231182083,1
85,5894,157.3470321,48.69464249,0.950908262,6065,86.62836647,0.545740741,346.421,0.617179615,3.231300694,1
86,6052,159.7482047,49.43455689,0.950914748,6213,87.78180748,0.478873239,351.931,0.614035862,3.231508782,1
87,6621,166.2588565,51.44909296,0.950915148,6778,91.81567963,0.54413215,363.962,0.628089259,3.231521625,1
88,6225,161.6328037,50.01376365,0.950922777,6340,89.02761463,0.441583316,357.668,0.611489561,3.231766457,1
89,6664,166.7102212,51.58357851,0.950925279,6840,92.11334499,0.551199338,373.316,0.60088539,3.231846763,1
90,7019,171.1182178,52.94643961,0.950927302,7144,94.53501132,0.497801418,374.509,0.628869582,3.231911702,1
91,6535,166.4453782,51.49649968,0.950935309,6718,91.21743487,0.486162773,363.095,0.622895106,3.232168773,1
92,6726,167.944311,51.95679453,0.950942011,6923,92.5408514,0.538942308,367.055,0.627342107,3.232383993,1
93,9235,155.559459,76.35793713,0.871238387,9429,108.4360051,0.609893013,377.77,0.81318963,2.037240198,0
94,6198,161.5256236,49.96747172,0.950949218,6372,88.83433288,0.554630873,352.814,0.625705274,3.232615499,1
95,6348,162.8324263,50.3715014,0.95094967,6529,89.90286219,0.458008658,352.522,0.641910281,3.232629994,1
96,4487,136.9589989,42.36653514,0.950952364,4586,75.58456084,0.46603656,299.648,0.627976175,3.23271654,1
97,7313,175.1506388,54.18026817,0.950953047,7457,96.49456353,0.448595264,382.213,0.62906356,3.232738499,1
98,6532,166.2361323,51.42164922,0.950955097,6720,91.19649503,0.551223629,369.082,0.60257389,3.232804371,1
99,6947,171.1174197,52.92844611,0.950961041,7199,94.04889748,0.69748996,386.117,0.585557188,3.232995342,1
100,7107,173.3795128,53.62746379,0.950962301,7343,95.12577697,0.480722403,380.297,0.61751908,3.233035846,1
101,4761,141.1788884,43.66697048,0.950963732,4901,77.85816253,0.645997286,309.51,0.624537722,3.233081821,1
102,6631,166.6871989,51.5520112,0.950972983,6747,91.88499018,0.828875,361.603,0.637272007,3.233379165,1
103,6617,167.0491314,51.66156381,0.950977623,6807,91.78794075,0.448124069,368.615,0.611962755,3.233528355,1
104,6757,167.9050217,51.92571622,0.950978669,6955,92.75386571,0.510193295,371.53,0.615142889,3.23356198,1
105,6233,161.740479,50.01921814,0.950978816,6374,89.08480276,0.464248473,351.933,0.632392933,3.233566717,1
106,5758,154.5462323,47.79327582,0.950981085,5893,85.62308858,0.571570379,339.044,0.629461828,3.233639664,1
