id,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,EquivDiameter,Extent,Perimeter,Roundness,AspectRation,Class
1,5359,140.1677922,49.39954533,0.935837613,5489,82.60321253,0.500373483,314.518,0.680773451,2.837430816,1
2,6503,154.1956199,54.34278513,0.935839099,6651,90.99382814,0.57563955,347.017,0.678612908,2.837462591,1
3,6949,159.8266309,56.32541244,0.935843567,7174,94.06243457,0.804748118,361.646,0.667674583,2.837558111,1
4,6634,155.9758462,54.96783361,0.935844778,6822,91.90577316,0.598952691,353.178,0.66834091,2.837584019,1
5,6063,149.9385481,52.83948412,0.935846613,6241,87.86154654,0.605633803,342.55,0.649306108,2.83762324,1
6,6540,155.1470929,54.67389358,0.935849334,6691,91.25232393,0.500919118,348.045,0.678448387,2.837681437,1
7,6042,150.3351011,52.97759767,0.935850707,6289,87.70925452,0.502871411,342.801,0.646109943,2.837710801,1
8,5235,139.4504936,49.14155223,0.93585164,5414,81.64195623,0.645260693,315.291,0.661764403,2.837730745,1
9,6624,156.3346344,55.09125886,0.935852043,6800,91.83647829,0.53384913,352.146,0.671250572,2.837739374,1
10,6555,155.6605975,54.85132818,0.93585786,6732,91.35691115,0.482375451,355.358,0.652304487,2.83786378,1
11,6837,158.8077233,55.95982801,0.935858992,7014,93.30133315,0.666959321,362.2,0.654905371,2.83788798,1
12,5591,144.0317677,50.75257012,0.93586052,5781,84.37228392,0.472532116,326.735,0.65812447,2.837920668,1
13,6416,153.4874546,54.08433962,0.935860857,6564,90.38310085,0.666943867,345.709,0.674610113,2.837927868,1
14,6271,151.5959498,53.41733056,0.935862098,6420,89.35594656,0.669120785,338.82,0.686449493,2.837954428,1
15,5664,144.803333,51.02329077,0.935863527,5846,84.92130935,0.767063922,327.953,0.661774293,2.837984983,1
16,6873,159.3646826,56.14558923,0.93588379,7015,93.54664821,0.825982454,359.52,0.66820558,2.838418562,1
17,6865,158.9531538,55.99830115,0.935889244,7095,93.49218938,0.472991594,362.604,0.656122943,2.838535287,1
18,5360,140.6848675,49.5611753,0.935892753,5467,82.61091913,0.5118411,311.821,0.692729901,2.838610397,1
19,5230,137.9931375,48.61190561,0.935895517,5367,81.6029584,0.725582686,309.527,0.685984774,2.838669576,1
20,5781,145.735893,51.33947086,0.935895607,5939,85.79392641,0.630150425,327.937,0.67551033,2.838671504,1
21,4904,134.2800083,47.30322396,0.935897281,5075,79.01877452,0.544344544,297.901,0.694410699,2.838707324,1
22,4590,129.9919914,45.79235885,0.935898185,4740,76.4471681,0.659482759,288.827,0.691428013,2.838726692,1
23,6297,152.8529034,53.84367467,0.935902893,6615,89.54099292,0.716300762,349.481,0.647882751,2.838827483,1
24,5827,146.3692199,51.55844972,0.935906223,5961,86.13458555,0.639767238,326.399,0.687317249,2.838898778,1
25,6500,154.1562488,54.30088479,0.935907541,6654,90.97283683,0.802469136,347.801,0.675245297,2.838927016,1
26,7291,163.4734703,57.58061614,0.935912653,7524,96.34930991,0.813727679,367.004,0.680229351,2.83903649,1
27,5962,148.5589116,52.3262067,0.935915242,6113,87.12665589,0.742465753,335.925,0.66392219,2.839091939,1
28,6071,149.3108039,52.59043495,0.935916773,6195,87.91949315,0.489123429,334.368,0.682371189,2.839124719,1
29,6461,154.4150185,54.38800424,0.935917366,6584,90.69950771,0.796769022,346.445,0.676458268,2.839137428,1
